"|,""latitude"",""longitude"",""sicaklik"",""timestamp"""
"-LwUVqpA8SwpYKtz8lEd,""40.742264"",""30.325671"",""6.682943"",""1576781704808"""
"-LwUVucNLkEnZtTwbCAC,""40.742264"",""30.325671"",""9.53125"",""1576781720370"""
"-LwUVyQd4i5Z6bE0RIPO,""40.742264"",""30.325671"",""9.53125"",""1576781735943"""
"-LwUW1DqeqDib_8TM1n2,""40.742264"",""30.325671"",""9.53125"",""1576781751507"""
"-LwUW512jFUNdAvHDenn,""40.742264"",""30.325671"",""8.717448"",""1576781767071"""
"-LwUW8pHS8FhUz591hZu,""40.742264"",""30.325671"",""8.717448"",""1576781782638"""
"-LwUWCcR-fNjCoG_2TXk,""40.742264"",""30.325671"",""8.717448"",""1576781798202"""
"-LwUWGRPTO4frhwK0rsV,""40.742264"",""30.325671"",""8.717448"",""1576781813872"""
"-LwUWKFUkqBa7Upeqs9A,""40.742264"",""30.325671"",""8.717448"",""1576781829431"""
"-LwUWO2b7X70mHB_OiHb,""40.742264"",""30.325671"",""6.682943"",""1576781844994"""
"-LwUWRqmyTAvo9dZQOPu,""40.742264"",""30.325671"",""6.682943"",""1576781860559"""
"-LwUWVgj5-YcCq0SD-6w,""40.742264"",""30.325671"",""6.682943"",""1576781876478"""
"-LwUWZXeTVPQ892pnS4v,""40.742264"",""30.325671"",""6.276042"",""1576781892043"""
"-LwUWcKsD81A1_cgbF-y,""40.742264"",""30.325671"",""6.276042"",""1576781907613"""
"-LwUWg85t_LobxXjJ7v7,""40.742264"",""30.325671"",""6.276042"",""1576781923173"""
"-LwUWjwFu2AXLtO0w2MM,""40.742264"",""30.325671"",""6.276042"",""1576781938729"""
"-LwUWnj_T4hSqz4XhATo,""40.742264"",""30.325671"",""8.717448"",""1576781954340"""
"-LwUWrYgx37rhYgLSBTO,""40.742264"",""30.325671"",""8.717448"",""1576781969924"""
"-LwUWvLh1my7YIayUnWp,""40.742264"",""30.325671"",""6.682943"",""1576781985495"""
"-LwUWz94jBEcgUlGcPkY,""40.742264"",""30.325671"",""8.717448"",""1576782001056"""
"-LwUX1xCfJnoNqA5TFEe,""40.742264"",""30.325671"",""6.276042"",""1576782016618"""
"-LwUX5kW5pwfXlIKTPV1,""40.742264"",""30.325671"",""8.717448"",""1576782032190"""
"-LwUX9YfDywSzrviKCrN,""40.742264"",""30.325671"",""8.717448"",""1576782047751"""
"-LwUXDMLiy_Qge6HVl10,""40.742264"",""30.325671"",""8.717448"",""1576782063348"""
"-LwUXH9gSVJq5EpWyuEl,""40.742264"",""30.325671"",""6.276042"",""1576782078921"""
"-LwUXKxyjCR2Y7O065r9,""40.742264"",""30.325671"",""8.717448"",""1576782094537"""
"-LwUXOlxwdbB-fahQ6GB,""40.742264"",""30.325671"",""8.717448"",""1576782110107"""
"-LwUXS_E2Nq5HRGNIvT7,""40.742264"",""30.325671"",""8.717448"",""1576782125674"""
"-LwUXWNSKXbBy6LbgwxF,""40.742264"",""30.325671"",""6.276042"",""1576782141238"""
"-LwUX_AzkFREblpfd8ZS,""40.742264"",""30.325671"",""8.717448"",""1576782156835"""
"-LwUXczYYReskkTxm6Ir,""40.742264"",""30.325671"",""8.717448"",""1576782172426"""
"-LwUXgnQLdxMzB6PTuaf,""40.742264"",""30.325671"",""8.717448"",""1576782188023"""
"-LwUXl-cvVOcIfKAXrMR,""40.742264"",""30.325671"",""8.717448"",""1576782205251"""
"-LwUXonrqsQlrJtrPHbD,""40.742264"",""30.325671"",""8.717448"",""1576782220815"""
"-LwUXsaywqi8wWFcrAyw,""40.742264"",""30.325671"",""8.717448"",""1576782236472"""
"-LwUXwQaoZqlCEnwBl9y,""40.742264"",""30.325671"",""8.717448"",""1576782252039"""
"-LwUY-DqwO4_sox4gk-E,""40.742264"",""30.325671"",""8.717448"",""1576782267604"""
"-LwUY313NDiLSMPfF46b,""40.742264"",""30.325671"",""8.717448"",""1576782283163"""
"-LwUY6pBPkRtsMCRP_Ct,""40.742264"",""30.325671"",""8.717448"",""1576782298734"""
"-LwUYAoWCLxvDUm0MXHi,""40.742264"",""30.325671"",""8.717448"",""1576782315108"""
"-LwUYEcK1_mVB0E6SDcB,""40.742264"",""30.325671"",""8.717448"",""1576782330675"""
"-LwUYIQR2AX4NcE_Vko6,""40.742264"",""30.325671"",""8.717448"",""1576782346224"""
"-LwUYMDVB4SEU7KnK-8d,""40.742264"",""30.325671"",""8.717448"",""1576782361787"""
"-LwUYQ0hVet1PrGbX2cT,""40.742264"",""30.325671"",""6.682943"",""1576782377353"""
"-LwUYTos2xJw14E2zrkd,""40.742264"",""30.325671"",""8.717448"",""1576782392911"""
"-LwUYXc6qHuVTrdZKx7a,""40.742264"",""30.325671"",""6.682943"",""1576782408529"""
"-LwUYaQwCK3ULIMI_VgF,""40.742264"",""30.325671"",""6.276042"",""1576782424080"""
